original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
CN(C(=O)COc1cccc(C(=O)NC2CC2)c1)c1ccccc1,CN(C(=O)COc1cccc(C(=O)NC2CC2)c1)c1ccccc1,1,1,100.0,0.0,98.96427552377094
Cc1ccc(NC(=O)c2cccnc2N2CCCCC2)nc1,Cc1ccc(NC(=O)c2cccnc2N2CCCCC2)nc1,1,1,100.0,0.0,98.96427552377094
O=C(CCCc1ccccc1)N1CCC(Oc2ccccn2)CC1,O=C(CCCc1ccccc1)N1CCC(Oc2ccccn2)CC1,1,1,100.0,0.0,98.96427552377094
Cc1cc(C(=O)Nc2ccn(-c3ccc(C#N)cc3)n2)c(C)o1,Cc1cc(C(=O)Nc2ccn(-c3ccc(C#N)cc3)n2)c(C)o1,1,1,100.0,0.0,98.96427552377094
Cc1ccc(CN(C(=O)c2cc(-c3ccco3)[nH]n2)C(C)C)s1,Cc1ccc(CN(C(=O)c2cc(-c3ccco3)[nH]n2)C(C)C)s1,1,1,100.0,0.0,98.96427552377094
CC(C)n1nccc1NC(=O)N1CCN(CC(=O)N2CCCC2)CC1,CC(C)n1nccc1NC(=O)N1CCN(CC(=O)N2CCCC2)CC1,1,1,100.0,0.0,98.96427552377094
Cc1nc2ccccc2n1CCNc1nnnn1-c1ccccc1,Cc1nc2ccccc2n1CCNc1nnnn1-c1ccccc1,1,1,100.0,0.0,98.96427552377094
CC(CNS(=O)(=O)c1ccc(C#N)cc1)N(C)c1ccccc1,CC(CNS(=O)(=O)c1ccc(C#N)cc1)N(C)c1ccccc1,1,1,100.0,0.0,98.96427552377094
O=C(NCCCN1CCCC1=O)c1cnc(N2CCCC2)nc1,O=C(NCCCN1CCCC1=O)c1cnc(N2CCCC2)nc1,1,1,100.0,0.0,98.96427552377094
Cc1nn(C)c(C)c1C1CCCN1C(=O)c1ccc(NC2CC2)nc1,Cc1nn(C)c(C)c1C1CCCN1C(=O)c1ccc(NC2CC2)nc1,1,1,100.0,0.0,98.96427552377094
CC(=O)Nc1cc(NCC=Cc2ccc(C#N)cc2)ccc1C,CC(=O)Nc1cc(NCC=Cc2ccc(C#N)cc2)ccc1C,1,1,100.0,0.0,98.96427552377094
COc1cccc(CCN2CC(=O)N3CCC(O)CC3C2=O)c1,COc1cccc(CCN2CC(=O)N3CCC(O)CC3C2=O)c1,1,1,100.0,0.0,98.96427552377094
CCn1cc(Cl)c(C(=O)Nc2cc(C)nn2C2CCCC2)n1,CCn1cc(Cl)c(C(=O)Nc2cc(C)nn2C2CCCC2)n1,1,1,100.0,0.0,98.96427552377094
CC1CCCC(C)N1C(=O)c1n[nH]c(=O)c2ccccc12,CC1CCCC(C)N1C(=O)c1n[nH]c(=O)c2ccccc12,1,1,100.0,0.0,98.96427552377094
O=S1(=O)N=C(NCCc2ccc3c(c2)OCCO3)c2ccccc21,O=S1(=O)N=C(NCCc2ccc3c(c2)OCCO3)c2ccccc21,1,1,100.0,0.0,98.96427552377094
CC(NC(=O)NCc1cnn(C)c1)c1ccc(-n2ccnc2)cc1,CC(NC(=O)NCc1cnn(C)c1)c1ccc(-n2ccnc2)cc1,1,1,100.0,0.0,98.96427552377094
COC(=O)c1ccc(Nc2nc(=O)[nH]nc2C)cc1,COC(=O)c1ccc(Nc2nc(=O)[nH]nc2C)cc1,1,1,100.0,0.0,98.96427552377094
O=C(Nc1ccccn1)N1CCC(O)(C(F)(F)F)CC1,O=C(Nc1ccccn1)N1CCC(O)(C(F)(F)F)CC1,1,1,100.0,0.0,98.96427552377094
CNC(=O)Cn1c(CO)cnc1SCc1ccc(F)cc1,CNC(=O)Cn1c(CO)cnc1SCc1ccc(F)cc1,1,1,100.0,0.0,98.96427552377094
