original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
O=C(Nc1ccc(Cl)cc1)c1cc2c3c(c1)CC(=O)N3CCC2,O=C(Nc1ccc(Cl)cc1)c1cc2Cc3c(c1)CC(=O)ccN3CCC2,1,0,57.14285714,0.580645161,46.06612642
O=C(Nc1ccc(Cl)cc1)c1cc2c3c(c1)CC(=O)N3CCC2,O=C(Nc1ccc(Cl)cc1)c1cc2Cc3c(c1)CC(=O)cN3CCC2,1,0,59.52380952,0.580645161,46.06612642
O=C(Nc1ccc(Cl)cc1)c1cc2c3c(c1)CC(=O)N3CCC2,O=C(Nc1ccc(Cl)cc1)c1cc2Oc3c(c1)CC(=O)ccN3CCC2,1,0,57.14285714,0.6,46.06612642
O=C(Nc1ccc(Cl)cc1)c1cc2c3c(c1)CC(=O)N3CCC2,O=C(Nc1ccc(Cl)cc1)c1cc2Oc3c(c1)CC(=O)cN3CCC2,1,0,59.52380952,0.59375,46.06612642
Nc1cc(CCC2CCCCO2)nn1C1CCS(=O)(=O)C1,Nc1cc(CCC2CCCCO2)nn1C1CCS(=O)(=O)C1,1,1,100,0,46.06612642
CCOC(=O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,O(O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,1,0,9.090909091,0.31372549,46.06612642
CCOC(=O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,C(O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,1,0,11.36363636,0.32,46.06612642
CCOC(=O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,CC(O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,1,0,9.090909091,0.358490566,46.06612642
CCOC(=O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,N(O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,1,0,9.090909091,0.346153846,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,O=c1n(Cc2C(C3CCCCC3)n2)nnn1c1ccccc1,1,0,51.35135135,0.444444444,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,O=c1n(Cc2N(C3CCCCC3)n2)nnn1c1ccccc1,1,0,51.35135135,0.454545455,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,C=c1n(Cc2C(C3CCCCC3)n2)nnn1c1ccccc1,1,0,48.64864865,0.707692308,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,C=c1n(Cc2N(C3CCCCC3)n2)nnn1c1ccccc1,1,0,48.64864865,0.712121212,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,CC=c1n(Cc2C(C3CCCCC3)n2)nnn1c1ccccc1,1,0,27.02702703,0.739130435,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,CC=c1n(Cc2N(C3CCCCC3)n2)nnn1c1ccccc1,1,0,27.02702703,0.742857143,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,N=c1n(Cc2C(C3CCCCC3)n2)nnn1c1ccccc1,1,0,48.64864865,0.6,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,N=c1n(Cc2N(C3CCCCC3)n2)nnn1c1ccccc1,1,0,48.64864865,0.606557377,46.06612642
CC(=O)N1CCCN(CC(C)(C)[NH3+])CC1,CC(=CO)N1CCCN(CC(CC)(C)[NH3+])CC1,1,0,22.58064516,0.487804878,46.06612642
CC(=O)N1CCCN(CC(C)(C)[NH3+])CC1,CC(=CO)N1CCCN(CC(OC)(C)[NH3+])CC1,1,0,22.58064516,0.5,46.06612642
OC(C[NH2+]CCN1CCCCC1)COCC1CC1,OOC(C[NH2+]CCN1CCCCC1)COCC1CC1,1,0,27.5862069,0.279069767,46.06612642
OC(C[NH2+]CCN1CCCCC1)COCC1CC1,COC(C[NH2+]CCN1CCCCC1)COCC1CC1,1,0,24.13793103,0.318181818,46.06612642
OC(C[NH2+]CCN1CCCCC1)COCC1CC1,CCOC(C[NH2+]CCN1CCCCC1)COCC1CC1,1,0,24.13793103,0.347826087,46.06612642
OC(C[NH2+]CCN1CCCCC1)COCC1CC1,NOC(C[NH2+]CCN1CCCCC1)COCC1CC1,1,0,24.13793103,0.318181818,46.06612642
Cc1ccc(Nc2ncnc3c2ccn3CC[NH+]2CCOCC2)cc1,Cc1ccc(Nc2ncnc3c2ccn3CC[NH1+]2CCOCC2)cc1,1,0,74.35897436,0,46.06612642
O=C(Oc1ccccc1)c1cccc(N2C(=O)c3cccnc3C2=O)c1,O=C(c1ccccc1)c1cccc(N2C(=O)c3cccnc3C2=O)c1,1,0,30.23255814,0.276595745,46.06612642
OCC1OC([NH+]2C=CCNC2O)C(O)(C2CC2)C1O,OCC1OC([NH+]2C=CCNC2)C(O)(C2CC2)C1O,1,0,58.33333333,0.340425532,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncCC(SCc2Cccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.64,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncCC(SCc2Occccc2Cl)s1)c1cccs1,1,0,47.05882353,0.662337662,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncCC(SCc2Nccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.653333333,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncCN(SCc2Cccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.626666667,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncCN(SCc2Occccc2Cl)s1)c1cccs1,1,0,47.05882353,0.649350649,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncCN(SCc2Nccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.644736842,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nnc(C(SCc2)ccccc2Cl)s1)c1cccs1,1,0,50,0.573529412,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nnc(N(SCc2)ccccc2Cl)s1)c1cccs1,1,0,50,0.567164179,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncOC(SCc2Cccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.644736842,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncOC(SCc2Occccc2Cl)s1)c1cccs1,1,0,47.05882353,0.657894737,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncOC(SCc2Nccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.653333333,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncON(SCc2Cccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.581081081,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncON(SCc2Occccc2Cl)s1)c1cccs1,1,0,47.05882353,0.594594595,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nncON(SCc2Nccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.589041096,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nnccc(SCc2Cccccc2Cl)s1)c1cccs1,1,0,47.05882353,0.621621622,46.06612642
O=C(Nc1nnc(SCc2ccccc2Cl)s1)c1cccs1,O=C(Nc1nnccc(SCc2Occccc2Cl)s1)c1cccs1,1,0,47.05882353,0.64,46.06612642
