original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
CC(C)(O)C(=O)c1ccc(OCC[NH+](CCCO)CCCO)cc1,CC(C)(O)CC(=OO)c1ccc(OCC[NH+](CCCO)CCCO)cc1,0,0,31.70731707,1,46.06612642
Cc1ccc(C(=O)N2CCCC2)cc1NC(=O)CCNC(=O)C1CC[NH+](CC(=O)Nc2cc(C(=O)NC3CCCC3)ccc,Cc1ccc(C(=O)N2CCCC2)cc1NC(=O)CCNC(=O)C1CC[NH+](CC(=O)Nc2cc(C(=O)3CCCC3)ccc2,x,0,89.47368421,-1,46.06612642
O=C(Nc1ccc(Cl)cc1)c1cc2c3c(c1)CC(=O)N3CCC2,O=C(Nc1ccc(Cl)cc1)c1cc2Cc3c(c1)CC(=O)ccN3CCC2,1,0,57.14285714,0.580645161,46.06612642
Nc1cc(CCC2CCCCO2)nn1C1CCS(=O)(=O)C1,Nc1cc(CCC2CCCCO2)nn1C1CCS(=O)(=O)C1,1,1,100,0,46.06612642
Cc1ccc(C=CC(c2cc(C)c(Cl)c(C)c2)C(F)(F)F)cc1C(F)(F)F,Occc(C=CC(c2cc(C)c(Cl)c(C)c2))F)()F)cc1C(F)(F)F,0,0,9.803921569,1,46.06612642
CC[NH2+]C1CC[NH+](Cc2ccc(C)o2)C(C)C1C,CC[NH2+]C1CCCNH+](Cc2ccc(C)o2)C)C)C1),0,0,91.89189189,1,46.06612642
CCOc1c(Cl)cc(C2=C(O)C(=O)N(c3ccc(C)c(Cl)c3)C2c2cc(OC)ccc2OC)cc,O1c(ClNCCncc(C2=C(O)C(=O)N(c3ccc(C)c(Cl)c3)C2c2cc(OC)ccc2OC)cc,x,0,85.48387097,-1,46.06612642
CS(=O)(=O)CCn1nnc(C(=O)[O-])c1c1cccnc1,CS(=O)(=)CCn1nnc(C(=O)[O-])c1c1cccnc1,0,0,31.57894737,1,46.06612642
CCOC(=O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,O(O)CCC[NH2+]Cc1ncc(C)c([N+](=O)[O-])c1C,1,0,9.090909091,0.31372549,46.06612642
O=c1n(Cc2csc(C3CCCCC3)n2)nnn1c1ccccc1,O=c1n(Cc2C(C3CCCCC3)n2)nnn1c1ccccc1,1,0,51.35135135,0.444444444,46.06612642
COc1cccc(N2C(=O)NC(=O)C(=Cc3ccoc3)C2=O)c1,COc1(N2C(=OC(=O)C(=Cc3ccoc3)C2=O))1,0,0,26.82926829,1,46.06612642
CC(=O)N1CCCN(CC(C)(C)[NH3+])CC1,CC(=CO)N1CCCN(CC(CC)(C)[NH3+])CC1,1,0,22.58064516,0.487804878,46.06612642
CCC1CCC(C)N1S(=O)(=O)c1ccc(CC[NH3+])cc1,CCC1CCC(CNCCn)1S(=O)(=O)c1ccc(CC[NH3+])cc1,0,0,25.64102564,1,46.06612642
O=C(Oc1ccc(Br)cn1)N1CC[NH+]2CCC1CC2,O=C(Oc1)ccc(Br)Ccn1)N1CC[NH+]2CCC1CC2,0,0,31.42857143,1,46.06612642
O=c1n(CC[NH+]2CCCCC2)nc2n1CCc1ccccc1C2,O1c1n(=CC[NH+]2CCCCC2)nc2n1CCc1ccccc1C2,0,0,39.47368421,1,46.06612642
OC(C[NH2+]CCN1CCCCC1)COCC1CC1,OOC(C[NH2+]CCN1CCCCC1)COCC1CC1,1,0,27.5862069,0.279069767,46.06612642
